index,timestamp,machine ID,cpu_util_precent,mem_util_percent,net_in,net_out,disk_io_percent
0,m_1932,386670,43,92,43.04,33.08,5
1,m_1932,386690,44,92,43.05,33.08,5
2,m_1932,386800,46,92,43.05,33.08,3
3,m_1932,386930,44,93,43.05,33.09,4
4,m_1932,387000,41,93,43.05,33.09,4
5,m_1932,387090,46,93,43.05,33.09,3
6,m_1932,387170,47,93,43.05,33.09,4
7,m_1932,387180,46,93,43.05,33.09,3
8,m_1932,387200,46,93,43.05,33.09,3
9,m_1932,387530,46,93,43.06,33.1,5
10,m_1932,387610,73,97,43.06,33.1,7
11,m_1932,387690,75,97,43.06,33.1,5
12,m_1932,387840,68,96,43.07,33.1,3
13,m_1932,387900,71,96,43.07,33.1,5
14,m_1932,387950,68,96,43.07,33.1,5
15,m_1932,387990,66,96,43.07,33.1,4
16,m_1932,388050,55,96,43.07,33.11,2
17,m_1932,388160,52,97,43.07,33.11,5
18,m_1932,388170,53,96,43.07,33.11,5
19,m_1932,388260,41,83,43.07,33.11,3
20,m_1932,388330,37,83,43.08,33.11,4
21,m_1932,388340,36,83,43.08,33.11,4
22,m_1932,388500,35,83,43.08,33.11,6
23,m_1932,388620,35,84,43.08,33.12,3
24,m_1932,388650,32,83,43.08,33.12,3
25,m_1932,388730,37,83,43.08,33.12,3
26,m_1932,388770,34,83,43.08,33.12,2
27,m_1932,388780,30,83,43.08,33.12,2
28,m_1932,388790,31,83,43.08,33.12,2
29,m_1932,388870,38,85,43.08,33.12,4
30,m_1932,388900,35,84,43.09,33.12,4
31,m_1932,389010,47,86,43.09,33.12,4
32,m_1932,389100,49,88,43.09,33.12,8
33,m_1932,389120,46,86,43.09,33.12,8
34,m_1932,389190,40,87,43.09,33.13,8
35,m_1932,389240,36,87,43.09,33.13,5
36,m_1932,389430,41,88,43.1,33.13,4
37,m_1932,389520,46,87,43.1,33.13,3
38,m_1932,389530,46,88,43.1,33.13,3
39,m_1932,389640,48,86,43.1,33.13,7
40,m_1932,389710,57,87,43.11,33.13,6
41,m_1932,389800,47,86,43.11,33.14,6
42,m_1932,389890,47,86,43.11,33.14,2
43,m_1932,390040,36,86,43.12,33.14,11
44,m_1932,390380,62,87,43.12,33.15,4
45,m_1932,390410,43,86,43.12,33.15,4
46,m_1932,390460,35,86,43.12,33.15,4
47,m_1932,390470,30,86,43.13,33.15,4
48,m_1932,390580,27,85,43.13,33.15,3
49,m_1932,390750,34,85,43.13,33.16,5
50,m_1932,390900,40,86,43.13,33.16,4
51,m_1932,391040,39,86,43.14,33.16,5
52,m_1932,391090,39,86,43.14,33.16,3
53,m_1932,391150,35,85,43.14,33.17,3
54,m_1932,391280,41,86,43.14,33.17,3
55,m_1932,391390,40,88,43.14,33.17,3
56,m_1932,391400,43,88,43.14,33.17,3
57,m_1932,391440,51,89,43.14,33.17,7
58,m_1932,391450,53,88,43.14,33.17,7
59,m_1932,391810,41,87,43.15,33.18,3
60,m_1932,391880,36,84,43.15,33.18,4
61,m_1932,391900,40,85,43.15,33.18,4
62,m_1932,392000,68,87,43.16,33.18,2
63,m_1932,392020,85,88,43.16,33.18,2
64,m_1932,392180,53,91,43.16,33.18,2
65,m_1932,392190,49,89,43.16,33.18,2
66,m_1932,392210,29,84,43.16,33.18,2
67,m_1932,392420,41,87,43.17,33.19,3
68,m_1932,392460,49,87,43.18,33.19,4
69,m_1932,392550,31,87,43.19,33.19,3
70,m_1932,392600,61,87,43.19,33.19,2
71,m_1932,392690,42,88,43.2,33.19,4
72,m_1932,392800,43,86,43.2,33.19,8
73,m_1932,392830,51,86,43.2,33.19,4
74,m_1932,392940,49,87,43.2,33.2,5
75,m_1932,393060,48,86,43.21,33.2,3
76,m_1932,393140,61,90,43.21,33.2,18
77,m_1932,393260,50,91,43.21,33.2,10
78,m_1932,393350,52,92,43.21,33.21,4
79,m_1932,393400,59,91,43.22,33.21,5
80,m_1932,393420,51,90,43.22,33.21,8
81,m_1932,393530,50,89,43.22,33.21,4
82,m_1932,393680,59,92,43.22,33.21,7
83,m_1932,393790,59,92,43.22,33.21,6
84,m_1932,393840,56,93,43.23,33.22,6
85,m_1932,393880,58,92,43.23,33.22,6
86,m_1932,393970,54,92,43.23,33.22,5
87,m_1932,394010,39,91,43.23,33.22,5
88,m_1932,394090,49,92,43.24,33.22,5
89,m_1932,394110,44,92,43.24,33.22,5
90,m_1932,394130,60,92,43.24,33.22,5
91,m_1932,394230,41,89,43.24,33.22,5
92,m_1932,394340,60,93,43.24,33.22,16
93,m_1932,394690,36,89,43.25,33.23,19
94,m_1932,394720,42,89,43.26,33.23,19
95,m_1932,394760,47,90,43.26,33.23,9
96,m_1932,394900,47,90,43.26,33.24,11
97,m_1932,395150,44,90,43.27,33.24,16
98,m_1932,395210,38,90,43.27,33.24,10
99,m_1932,395290,43,90,43.27,33.24,11
100,m_1932,395330,44,91,43.27,33.24,11
101,m_1932,395350,52,92,43.27,33.24,9
102,m_1932,395680,46,93,43.28,33.25,8
103,m_1932,395710,47,93,43.28,33.25,9
104,m_1932,395780,47,94,43.28,33.25,6
105,m_1932,395790,44,93,43.28,33.25,6
106,m_1932,395860,39,93,43.29,33.25,7
107,m_1932,395890,43,94,43.29,33.26,7
108,m_1932,395980,42,95,43.29,33.26,5
109,m_1932,396160,55,95,43.29,33.26,14
